Sex,Rings,Length,Diameter,Height,Weight
I,7,0.395,0.295,0.1,0.293
F,7,0.4,0.305,0.16,0.368
I,8,0.405,0.31,0.09,0.312
I,7,0.415,0.305,0.12,0.336
I,6,0.42,0.315,0.115,0.355
I,9,0.44,0.305,0.115,0.379
I,8,0.445,0.32,0.12,0.378
M,8,0.45,0.35,0.13,0.4655
F,8,0.455,0.355,1.13,0.594
M,8,0.46,0.345,0.12,0.4935
M,7,0.46,0.345,0.11,0.4595
M,7,0.465,0.36,0.11,0.4955
I,9,0.465,0.355,0.09,0.4325
F,7,0.475,0.38,0.14,0.689
I,8,0.48,0.35,0.135,0.5465
M,8,0.485,0.39,0.135,0.617
I,8,0.49,0.37,0.11,0.538
M,9,0.5,0.39,0.135,0.7815
F,8,0.5,0.38,0.14,0.6355
M,7,0.505,0.385,0.13,0.6435
M,8,0.525,0.385,0.1,0.5115
M,8,0.535,0.42,0.125,0.738
F,8,0.535,0.42,0.13,0.699
F,10,0.54,0.385,0.14,0.7655
F,9,0.54,0.42,0.13,0.7505
F,9,0.545,0.43,0.16,0.844
M,9,0.55,0.41,0.13,0.8705
I,11,0.55,0.42,0.115,0.668
F,9,0.565,0.44,0.135,0.83
M,8,0.58,0.45,0.12,0.8685
F,7,0.58,0.435,0.15,0.839
F,11,0.585,0.485,0.15,1.079
M,9,0.595,0.465,0.15,0.919
F,10,0.6,0.47,0.19,1.1345
F,8,0.61,0.43,0.14,0.909
M,8,0.61,0.48,0.165,1.2435
F,9,0.62,0.49,0.16,1.056
M,9,0.645,0.495,0.15,1.2095
M,8,0.65,0.5,0.14,1.238
F,10,0.665,0.525,0.21,1.644
M,11,0.685,0.55,0.2,1.7725
F,12,0.69,0.54,0.195,1.2525
F,10,0.705,0.57,0.185,1.761
F,10,0.71,0.5,0.15,1.3165
M,11,0.72,0.585,0.22,1.914
F,12,0.72,0.575,0.215,2.1
F,10,0.73,0.555,0.18,1.6895
M,17,0.775,0.57,0.22,2.032
F,8,0.505,0.39,0.115,0.66
M,10,0.53,0.425,0.13,0.7455
F,11,0.505,0.385,0.115,0.616
I,7,0.405,0.305,0.09,0.2825
M,7,0.415,0.3,0.1,0.3355
M,11,0.5,0.39,0.145,0.651
M,7,0.425,0.33,0.08,0.361
M,8,0.47,0.35,0.1,0.4775
F,10,0.4,0.31,0.115,0.3465
I,10,0.37,0.29,0.1,0.25
M,19,0.5,0.38,0.155,0.66
I,9,0.41,0.31,0.11,0.315
M,9,0.375,0.29,0.1,0.276
F,11,0.49,0.385,0.125,0.5395
M,10,0.585,0.48,0.185,1.04
M,14,0.595,0.455,0.155,1.041
F,15,0.675,0.55,0.18,1.6885
M,27,0.665,0.535,0.225,2.1835
M,13,0.62,0.49,0.17,1.2105
I,5,0.325,0.25,0.055,0.166
I,9,0.455,0.355,0.08,0.452
M,8,0.525,0.405,0.13,0.7185
I,7,0.385,0.29,0.09,0.232
I,4,0.13,0.095,0.035,0.0105
I,3,0.18,0.13,0.045,0.0275
I,6,0.31,0.225,0.05,0.1445
F,7,0.375,0.29,0.08,0.282
F,8,0.48,0.38,0.12,0.608
I,9,0.455,0.37,0.125,0.433
M,7,0.425,0.325,0.1,0.3295
I,9,0.475,0.36,0.11,0.4555
F,11,0.435,0.35,0.12,0.4585
F,6,0.29,0.21,0.075,0.275
M,7,0.385,0.295,0.095,0.335
M,8,0.47,0.375,0.115,0.4265
F,10,0.5,0.4,0.125,0.5765
I,7,0.4,0.31,0.1,0.127
M,12,0.62,0.51,0.175,1.1505
M,12,0.595,0.47,0.15,0.8915
M,9,0.585,0.455,0.14,0.97
M,6,0.32,0.24,0.08,0.18
F,10,0.52,0.41,0.125,0.6985
M,9,0.44,0.35,0.11,0.4585
F,8,0.44,0.33,0.115,0.4005
M,12,0.565,0.425,0.1,0.7145
F,9,0.56,0.425,0.125,0.932
F,10,0.59,0.455,0.175,0.966
F,16,0.57,0.465,0.18,0.9995
M,14,0.68,0.53,0.205,1.496
F,10,0.45,0.36,0.125,0.5065
I,7,0.32,0.24,0.075,0.1735
I,9,0.46,0.35,0.11,0.3945
M,10,0.47,0.37,0.105,0.4665
M,9,0.455,0.35,0.105,0.401
F,9,0.415,0.325,0.115,0.3455
M,11,0.465,0.35,0.12,0.5205
M,12,0.46,0.375,0.135,0.4935
M,8,0.415,0.31,0.09,0.3245
M,7,0.27,0.195,0.07,0.106
M,10,0.445,0.355,0.11,0.4415
F,18,0.745,0.585,0.19,1.966
F,8,0.4,0.3,0.115,0.3025
I,5,0.28,0.2,0.075,0.1225
M,10,0.55,0.44,0.135,0.879
M,16,0.58,0.46,0.165,1.2275
M,12,0.61,0.5,0.165,1.2715
M,17,0.62,0.495,0.175,1.806
M,14,0.56,0.42,0.195,0.8085
F,12,0.64,0.51,0.2,1.3905
M,19,0.69,0.55,0.2,1.8465
F,17,0.715,0.565,0.24,2.1995
F,11,0.71,0.565,0.195,1.817
F,9,0.55,0.47,0.15,0.897
M,5,0.375,0.305,0.09,0.3245
F,9,0.61,0.45,0.16,1.136
I,6,0.38,0.28,0.085,0.2735
F,5,0.37,0.275,0.085,0.2405
M,6,0.335,0.235,0.085,0.1545
I,4,0.165,0.115,0.015,0.0145
M,7,0.285,0.21,0.075,0.1185
I,6,0.19,0.13,0.03,0.0295
I,5,0.215,0.15,0.03,0.0385
M,10,0.595,0.465,0.125,0.799
F,13,0.645,0.5,0.17,1.1845
M,12,0.575,0.45,0.185,0.925
F,20,0.57,0.45,0.17,1.098
F,14,0.58,0.45,0.235,1.071
F,15,0.595,0.48,0.2,0.975
F,14,0.595,0.47,0.25,1.283
F,21,0.625,0.42,0.165,1.0595
M,16,0.535,0.42,0.165,0.9195
M,13,0.55,0.43,0.16,0.9295
M,6,0.495,0.4,0.155,0.8085
I,6,0.32,0.235,0.08,0.1485
M,9,0.445,0.34,0.12,0.4475
F,9,0.52,0.4,0.125,0.6865
M,14,0.495,0.385,0.135,0.6335
M,12,0.47,0.37,0.135,0.547
F,10,0.49,0.37,0.14,0.585
M,11,0.58,0.47,0.165,0.927
M,15,0.645,0.495,0.185,1.4935
F,14,0.575,0.485,0.165,1.0405
I,6,0.215,0.17,0.055,0.0605
I,13,0.43,0.325,0.11,0.3675
I,5,0.26,0.215,0.08,0.099
I,11,0.37,0.28,0.09,0.233
I,10,0.405,0.305,0.105,0.3625
I,6,0.27,0.19,0.08,0.081
F,21,0.68,0.55,0.2,1.596
F,13,0.65,0.515,0.195,1.4005
F,25,0.645,0.49,0.215,1.406
M,19,0.57,0.405,0.16,0.9245
M,18,0.615,0.48,0.19,1.36
M,7,0.42,0.345,0.105,0.43
I,6,0.275,0.22,0.08,0.1365
F,5,0.29,0.225,0.075,0.14
M,8,0.42,0.34,0.115,0.4215
F,16,0.625,0.525,0.215,1.5765
F,27,0.55,0.465,0.18,1.2125
M,18,0.66,0.505,0.2,1.6305
M,17,0.565,0.47,0.195,1.142
F,13,0.595,0.495,0.235,1.366
M,17,0.63,0.51,0.23,1.539
F,8,0.43,0.325,0.12,0.445
F,10,0.455,0.35,0.14,0.5725
I,7,0.33,0.26,0.08,0.19
F,13,0.515,0.415,0.13,0.764
M,14,0.495,0.39,0.15,0.853
F,13,0.485,0.375,0.145,0.5885
F,8,0.535,0.46,0.145,0.7875
M,17,0.58,0.465,0.175,1.035
F,13,0.625,0.525,0.195,1.352
F,14,0.555,0.455,0.18,0.958
F,9,0.55,0.425,0.145,0.797
M,13,0.59,0.475,0.155,0.857
I,7,0.355,0.28,0.11,0.2235
I,7,0.275,0.2,0.075,0.086
F,12,0.505,0.39,0.175,0.692
M,7,0.37,0.28,0.095,0.2225
M,13,0.555,0.43,0.165,0.7575
F,9,0.505,0.4,0.165,0.729
F,9,0.56,0.445,0.18,0.903
M,17,0.595,0.475,0.17,1.0965
F,14,0.57,0.45,0.165,0.903
M,13,0.6,0.48,0.175,1.229
F,15,0.56,0.435,0.185,1.106
M,17,0.585,0.465,0.19,1.171
I,8,0.46,0.335,0.11,0.444
F,8,0.46,0.36,0.115,0.4755
M,12,0.415,0.315,0.125,0.388
F,11,0.435,0.32,0.12,0.3785
F,7,0.475,0.38,0.135,0.486
M,10,0.465,0.36,0.13,0.5265
I,11,0.355,0.28,0.1,0.2275
M,9,0.46,0.375,0.14,0.5105
F,10,0.38,0.325,0.11,0.3105
F,9,0.47,0.365,0.12,0.543
M,6,0.36,0.27,0.09,0.2225
F,12,0.585,0.455,0.165,0.998
M,11,0.655,0.59,0.2,1.5455
M,13,0.6,0.485,0.175,1.2675
F,14,0.57,0.46,0.17,1.1
F,11,0.645,0.5,0.2,1.4285
M,14,0.65,0.495,0.18,1.793
M,12,0.51,0.395,0.145,0.6185
M,8,0.52,0.38,0.135,0.5825
M,13,0.495,0.415,0.165,0.7485
M,8,0.43,0.335,0.115,0.406
F,13,0.59,0.465,0.16,1.1005
M,10,0.55,0.46,0.175,0.869
M,11,0.585,0.43,0.16,0.955
F,17,0.58,0.455,0.16,0.9215
F,13,0.62,0.51,0.15,1.456
I,14,0.59,0.45,0.16,0.893
F,13,0.72,0.575,0.215,2.226
F,14,0.635,0.51,0.175,1.2125
F,15,0.61,0.48,0.175,1.0675
F,13,0.545,0.445,0.175,0.8525
M,12,0.57,0.45,0.16,0.8615
F,18,0.6,0.475,0.18,1.162
F,14,0.52,0.41,0.17,0.8705
M,15,0.635,0.51,0.21,1.598
F,13,0.67,0.52,0.15,1.406
M,15,0.695,0.57,0.2,2.033
M,20,0.655,0.525,0.185,1.259
F,14,0.62,0.48,0.23,1.0935
F,19,0.6,0.475,0.18,1.1805
M,9,0.51,0.405,0.13,0.7175
M,10,0.525,0.405,0.135,0.7575
M,9,0.44,0.375,0.13,0.487
I,8,0.485,0.415,0.14,0.5705
F,10,0.495,0.385,0.13,0.6905
I,7,0.435,0.345,0.12,0.4475
I,9,0.405,0.315,0.105,0.347
I,9,0.42,0.33,0.1,0.352
F,9,0.5,0.395,0.15,0.7145
F,7,0.385,0.305,0.105,0.3315
I,6,0.33,0.265,0.09,0.18
F,10,0.58,0.475,0.155,0.974
I,6,0.325,0.27,0.1,0.185
M,10,0.475,0.375,0.12,0.563
F,9,0.38,0.3,0.09,0.3215
I,6,0.34,0.26,0.09,0.179
M,12,0.525,0.425,0.12,0.702
F,10,0.52,0.415,0.145,0.8045
F,13,0.535,0.45,0.135,0.8075
M,8,0.475,0.36,0.12,0.578
I,7,0.415,0.325,0.1,0.385
I,8,0.495,0.385,0.125,0.585
F,10,0.48,0.405,0.13,0.6375
F,10,0.52,0.425,0.15,0.813
M,9,0.46,0.375,0.13,0.5735
F,11,0.58,0.455,0.12,0.94
M,11,0.59,0.49,0.135,1.008
F,23,0.55,0.415,0.135,0.775
F,12,0.65,0.5,0.165,1.1445
F,16,0.465,0.375,0.135,0.6
M,11,0.455,0.355,0.13,0.515
M,13,0.47,0.375,0.13,0.5795
F,13,0.435,0.35,0.11,0.384
M,7,0.35,0.265,0.11,0.2965
I,8,0.315,0.24,0.07,0.137
M,16,0.595,0.47,0.145,0.991
F,14,0.58,0.475,0.135,0.925
M,17,0.575,0.435,0.15,0.805
M,13,0.535,0.435,0.155,0.8915
M,13,0.515,0.42,0.14,0.769
F,12,0.505,0.385,0.135,0.6185
F,15,0.505,0.395,0.145,0.6515
I,10,0.4,0.31,0.1,0.2875
M,14,0.49,0.395,0.135,0.5545
M,12,0.53,0.435,0.135,0.7365
I,8,0.395,0.325,0.105,0.306
F,17,0.665,0.535,0.19,1.496
F,10,0.415,0.305,0.105,0.3605
M,11,0.43,0.345,0.115,0.3045
M,13,0.475,0.395,0.135,0.592
F,15,0.525,0.425,0.145,0.7995
I,15,0.48,0.39,0.145,0.5825
I,9,0.42,0.345,0.115,0.3435
M,15,0.59,0.46,0.155,0.906
F,9,0.515,0.42,0.135,0.6295
M,13,0.695,0.55,0.22,1.5515
F,23,0.8,0.63,0.195,2.526
M,23,0.61,0.49,0.15,1.103
F,18,0.565,0.48,0.175,0.957
M,11,0.56,0.455,0.165,0.86
M,17,0.655,0.485,0.195,1.62
M,17,0.64,0.52,0.2,1.407
F,11,0.59,0.47,0.17,0.9
I,7,0.31,0.24,0.09,0.1455
I,6,0.255,0.185,0.07,0.075
I,6,0.17,0.125,0.055,0.0235
M,21,0.67,0.55,0.17,1.247
F,17,0.71,0.565,0.195,1.7265
F,13,0.56,0.43,0.125,0.8025
M,11,0.505,0.4,0.13,0.764
M,16,0.525,0.43,0.165,0.8645
F,9,0.45,0.36,0.105,0.4715
F,12,0.515,0.435,0.17,0.631
M,19,0.59,0.475,0.16,0.9455
M,18,0.7,0.53,0.19,1.3185
F,17,0.72,0.56,0.175,1.7265
M,11,0.635,0.495,0.15,1.081
M,13,0.555,0.44,0.135,0.9025
M,13,0.575,0.47,0.15,1.1415
M,17,0.585,0.455,0.125,1.027
F,20,0.61,0.485,0.21,1.3445
F,13,0.645,0.525,0.2,1.449
F,11,0.545,0.44,0.175,0.7745
M,12,0.55,0.45,0.155,0.7895
F,18,0.66,0.525,0.205,1.3665
M,18,0.57,0.475,0.195,1.0295
F,15,0.6,0.47,0.2,1.031
F,12,0.63,0.505,0.165,1.065
M,19,0.695,0.57,0.23,1.885
M,15,0.65,0.545,0.16,1.2425
F,16,0.72,0.595,0.225,1.969
I,12,0.56,0.44,0.17,0.9445
I,8,0.42,0.325,0.115,0.354
M,3,0.18,0.125,0.05,0.023
F,12,0.405,0.325,0.11,0.3575
F,12,0.5,0.405,0.15,0.5965
I,12,0.435,0.335,0.11,0.383
M,10,0.34,0.275,0.09,0.2065
F,8,0.43,0.34,0.11,0.382
I,12,0.535,0.41,0.155,0.6315
I,12,0.415,0.325,0.115,0.3285
F,10,0.36,0.265,0.09,0.2165
M,5,0.175,0.135,0.04,0.0305
M,5,0.155,0.115,0.025,0.024
I,11,0.525,0.43,0.15,0.7365
F,16,0.525,0.39,0.135,0.6005
F,11,0.44,0.345,0.105,0.4285
F,12,0.45,0.345,0.115,0.496
F,14,0.485,0.365,0.14,0.6195
I,11,0.47,0.35,0.135,0.567
I,10,0.515,0.375,0.14,0.6505
M,11,0.42,0.34,0.125,0.4495
F,16,0.455,0.35,0.125,0.4485
M,10,0.37,0.29,0.09,0.241
M,10,0.33,0.25,0.09,0.197
I,7,0.3,0.22,0.09,0.1425
I,14,0.625,0.46,0.16,1.2395
I,14,0.61,0.475,0.17,1.0385
I,14,0.625,0.465,0.155,0.972
I,17,0.635,0.505,0.19,1.3315
I,14,0.5,0.385,0.155,0.762
F,17,0.53,0.43,0.17,0.775
I,13,0.445,0.33,0.1,0.437
F,12,0.585,0.415,0.155,0.6985
I,16,0.44,0.355,0.165,0.435
M,10,0.29,0.225,0.08,0.1295
I,15,0.555,0.455,0.17,0.8435
I,15,0.655,0.515,0.145,1.25
F,10,0.58,0.46,0.185,1.017
I,12,0.625,0.43,0.175,1.411
I,15,0.62,0.485,0.17,1.208
F,8,0.64,0.5,0.15,1.0705
F,10,0.505,0.375,0.115,0.5895
I,9,0.5,0.395,0.12,0.537
M,7,0.31,0.245,0.095,0.15
F,12,0.505,0.38,0.145,0.651
I,9,0.42,0.305,0.11,0.28
M,10,0.4,0.315,0.105,0.287
M,18,0.425,0.315,0.125,0.3525
M,11,0.31,0.235,0.06,0.12
F,18,0.465,0.35,0.13,0.494
F,10,0.465,0.36,0.12,0.4765
M,13,0.35,0.255,0.085,0.2145
I,15,0.52,0.415,0.16,0.595
F,12,0.475,0.365,0.13,0.4805
F,10,0.41,0.315,0.11,0.321
M,6,0.26,0.2,0.065,0.096
I,13,0.575,0.45,0.17,0.9315
I,14,0.565,0.435,0.155,0.782
M,6,0.26,0.19,0.075,0.0945
F,10,0.53,0.385,0.125,0.6695
M,9,0.34,0.255,0.095,0.213
I,11,0.52,0.38,0.14,0.525
F,18,0.635,0.5,0.18,1.312
F,11,0.61,0.485,0.165,1.087
F,16,0.66,0.515,0.18,1.523
I,16,0.635,0.5,0.18,1.319
F,14,0.465,0.38,0.135,0.579
M,23,0.515,0.4,0.16,0.8175
I,9,0.335,0.24,0.095,0.17
F,16,0.515,0.4,0.17,0.796
F,9,0.345,0.255,0.1,0.197
M,13,0.465,0.355,0.125,0.5255
M,10,0.54,0.415,0.17,0.879
M,9,0.475,0.355,0.125,0.4625
F,11,0.445,0.335,0.14,0.4565
M,9,0.5,0.355,0.14,0.528
M,12,0.5,0.38,0.135,0.5835
F,14,0.55,0.435,0.17,0.884
I,6,0.275,0.205,0.08,0.096
F,7,0.35,0.265,0.09,0.1855
F,9,0.37,0.285,0.105,0.27
F,10,0.42,0.33,0.125,0.463
M,10,0.35,0.26,0.09,0.198
M,9,0.395,0.305,0.105,0.282
I,8,0.325,0.2,0.08,0.0995
I,5,0.275,0.2,0.065,0.092
I,6,0.235,0.17,0.065,0.0625
I,5,0.25,0.18,0.06,0.073
I,5,0.25,0.185,0.065,0.071
I,4,0.2,0.145,0.05,0.036
F,20,0.585,0.47,0.17,1.099
M,14,0.445,0.35,0.14,0.5905
F,13,0.5,0.385,0.13,0.768
M,8,0.44,0.325,0.08,0.413
M,17,0.515,0.405,0.14,0.8505
F,11,0.52,0.405,0.14,0.6915
M,11,0.5,0.39,0.13,0.709
M,9,0.425,0.325,0.12,0.3755
M,16,0.51,0.415,0.14,0.8185
F,8,0.37,0.275,0.08,0.227
M,13,0.54,0.415,0.13,0.8245
M,11,0.615,0.475,0.17,1.1825
M,20,0.565,0.44,0.175,1.122
M,14,0.645,0.515,0.175,1.6115
F,14,0.615,0.47,0.175,1.2985
M,14,0.605,0.49,0.145,1.3
F,12,0.59,0.455,0.165,1.161
M,18,0.645,0.485,0.155,1.489
M,13,0.57,0.42,0.155,1.008
F,8,0.47,0.355,0.18,0.441
F,14,0.5,0.44,0.155,0.742
F,13,0.52,0.425,0.145,0.7
M,8,0.39,0.285,0.095,0.271
M,12,0.52,0.4,0.165,0.8565
F,14,0.54,0.415,0.175,0.8975
M,14,0.46,0.36,0.135,0.6105
I,8,0.355,0.26,0.09,0.1925
F,13,0.49,0.4,0.145,0.6635
F,11,0.63,0.51,0.185,1.235
M,14,0.5,0.385,0.145,0.7615
M,15,0.49,0.39,0.135,0.592
M,7,0.44,0.325,0.115,0.39
F,10,0.515,0.395,0.165,0.7565
F,11,0.475,0.38,0.145,0.57
I,8,0.42,0.31,0.1,0.2865
M,9,0.4,0.305,0.13,0.2935
M,12,0.45,0.36,0.16,0.567
F,15,0.52,0.4,0.13,0.6245
M,12,0.505,0.4,0.155,0.8415
M,15,0.495,0.4,0.14,0.7775
M,19,0.54,0.41,0.145,0.989
F,12,0.48,0.39,0.125,0.6905
F,9,0.33,0.26,0.08,0.2
I,5,0.285,0.21,0.07,0.109
I,6,0.3,0.23,0.075,0.127
I,6,0.31,0.24,0.105,0.2885
I,6,0.34,0.255,0.075,0.18
I,7,0.375,0.3,0.075,0.144
I,7,0.415,0.325,0.1,0.4665
I,6,0.415,0.315,0.105,0.33
I,6,0.415,0.315,0.09,0.3625
I,8,0.42,0.32,0.1,0.34
I,6,0.425,0.31,0.105,0.365
M,8,0.465,0.375,0.11,0.5
F,8,0.465,0.35,0.135,0.6265
I,8,0.47,0.37,0.11,0.5555
F,8,0.47,0.375,0.12,0.6015
I,10,0.475,0.365,0.12,0.53
M,7,0.48,0.37,0.135,0.6315
M,8,0.5,0.4,0.13,0.7715
I,7,0.505,0.39,0.185,0.6125
M,9,0.525,0.425,0.19,0.872
M,9,0.54,0.42,0.12,0.8115
M,11,0.545,0.45,0.15,0.8795
F,9,0.565,0.44,0.15,0.983
M,11,0.58,0.46,0.18,1.145
M,9,0.59,0.455,0.16,1.09
M,9,0.59,0.48,0.16,1.262
M,10,0.595,0.49,0.185,1.185
F,9,0.6,0.475,0.135,1.4405
F,8,0.6,0.5,0.155,1.332
F,9,0.6,0.485,0.165,1.1405
M,10,0.605,0.475,0.175,1.201
F,10,0.625,0.49,0.155,1.33
M,10,0.63,0.5,0.185,1.362
M,12,0.64,0.585,0.195,1.647
F,11,0.64,0.5,0.18,1.4995
F,12,0.655,0.545,0.165,1.6225
I,11,0.66,0.525,0.215,1.786
M,15,0.66,0.535,0.2,1.791
F,13,0.675,0.555,0.205,1.925
F,13,0.675,0.55,0.175,1.689
F,9,0.69,0.55,0.18,1.659
F,14,0.695,0.53,0.2,2.0475
F,10,0.7,0.525,0.19,1.6015
F,10,0.73,0.57,0.165,2.0165
I,4,0.205,0.15,0.065,0.04
I,4,0.225,0.17,0.07,0.0565
I,5,0.23,0.18,0.05,0.064
I,4,0.275,0.195,0.07,0.0875
I,5,0.28,0.21,0.055,0.106
I,5,0.28,0.22,0.08,0.1315
I,6,0.295,0.22,0.07,0.126
I,6,0.31,0.225,0.075,0.155
I,7,0.315,0.235,0.07,0.149
I,7,0.34,0.265,0.07,0.185
I,6,0.37,0.29,0.08,0.2545
I,6,0.38,0.285,0.085,0.237
I,7,0.39,0.295,0.1,0.279
I,6,0.405,0.31,0.065,0.3205
I,7,0.415,0.325,0.1,0.3335
I,7,0.44,0.335,0.11,0.3885
I,6,0.44,0.345,0.115,0.545
I,6,0.44,0.325,0.1,0.4165
I,7,0.44,0.355,0.12,0.495
I,6,0.45,0.35,0.125,0.4775
I,8,0.45,0.35,0.12,0.468
F,7,0.455,0.35,0.12,0.4555
F,6,0.46,0.35,0.115,0.46
I,7,0.46,0.345,0.12,0.4155
I,6,0.46,0.345,0.115,0.4215
I,7,0.465,0.355,0.11,0.474
M,9,0.465,0.34,0.105,0.486
I,7,0.475,0.385,0.11,0.5735
I,8,0.475,0.355,0.105,0.468
M,8,0.48,0.37,0.1,0.5135
M,7,0.5,0.375,0.145,0.6215
I,7,0.5,0.38,0.11,0.494
I,7,0.505,0.385,0.12,0.6005
M,9,0.515,0.395,0.12,0.646
M,7,0.525,0.415,0.135,0.7945
M,8,0.525,0.425,0.125,0.812
F,6,0.53,0.42,0.17,0.828
M,6,0.53,0.41,0.14,0.681
F,8,0.53,0.405,0.15,0.889
M,9,0.54,0.435,0.14,0.7345
F,8,0.55,0.425,0.125,0.964
F,7,0.555,0.425,0.14,0.963
F,9,0.57,0.445,0.15,0.995
F,8,0.57,0.435,0.14,0.8585
M,7,0.575,0.45,0.155,0.948
F,8,0.58,0.445,0.145,0.888
F,8,0.585,0.45,0.16,0.9045
M,7,0.59,0.465,0.14,1.046
F,9,0.595,0.47,0.155,1.1775
F,9,0.595,0.465,0.15,1.0765
F,11,0.595,0.465,0.15,1.0255
F,8,0.6,0.46,0.145,0.9325
F,8,0.6,0.46,0.15,1.235
M,9,0.6,0.46,0.15,1.247
M,8,0.61,0.48,0.15,1.1495
F,10,0.615,0.485,0.16,1.1575
F,10,0.615,0.5,0.165,1.327
M,8,0.615,0.47,0.155,1.2
F,9,0.62,0.51,0.175,1.2705
F,10,0.62,0.485,0.175,1.2155
F,9,0.62,0.475,0.16,1.3245
M,10,0.625,0.48,0.17,1.3555
F,9,0.625,0.49,0.165,1.127
F,8,0.625,0.49,0.175,1.1075
F,11,0.63,0.495,0.2,1.4255
F,9,0.63,0.495,0.145,1.147
M,8,0.63,0.48,0.165,1.286
F,11,0.635,0.495,0.18,1.596
F,11,0.635,0.495,0.195,1.297
M,9,0.645,0.49,0.16,1.251
M,12,0.645,0.5,0.175,1.5105
F,9,0.65,0.5,0.185,1.4415
M,9,0.67,0.52,0.19,1.6385
F,13,0.69,0.545,0.205,1.933
M,8,0.69,0.54,0.185,1.71
F,10,0.695,0.55,0.155,1.8495
M,12,0.695,0.525,0.175,1.742
F,13,0.7,0.575,0.205,1.7975
F,10,0.705,0.56,0.205,2.381
M,12,0.765,0.585,0.18,2.398
M,10,0.77,0.6,0.215,2.1945
I,4,0.22,0.16,0.05,0.049
I,5,0.275,0.205,0.07,0.1055
I,5,0.29,0.21,0.06,0.1045
I,6,0.33,0.24,0.075,0.163
I,6,0.355,0.285,0.095,0.2275
I,6,0.375,0.29,0.1,0.219
I,8,0.415,0.315,0.1,0.3645
I,6,0.425,0.33,0.115,0.3265
I,7,0.425,0.34,0.1,0.3515
I,7,0.43,0.32,0.1,0.3465
I,7,0.44,0.34,0.1,0.407
I,7,0.44,0.335,0.115,0.4215
I,7,0.46,0.345,0.11,0.3755
I,6,0.46,0.37,0.12,0.5335
I,7,0.465,0.355,0.105,0.442
I,7,0.475,0.365,0.1,0.1315
I,7,0.475,0.375,0.115,0.5205
I,8,0.485,0.375,0.13,0.5535
I,8,0.49,0.375,0.125,0.5445
M,8,0.49,0.38,0.11,0.554
I,7,0.495,0.38,0.12,0.512
I,8,0.5,0.39,0.125,0.583
M,9,0.5,0.38,0.12,0.5765
M,7,0.505,0.4,0.135,0.723
I,8,0.51,0.395,0.155,0.5395
I,8,0.51,0.385,0.15,0.625
I,9,0.515,0.4,0.125,0.5925
I,9,0.52,0.395,0.135,0.633
F,9,0.545,0.43,0.14,0.832
M,7,0.545,0.42,0.145,0.778
M,7,0.545,0.42,0.12,0.7865
F,9,0.545,0.4,0.14,0.778
I,8,0.55,0.42,0.13,0.636
F,8,0.55,0.44,0.135,0.8435
I,8,0.555,0.425,0.13,0.648
M,9,0.565,0.43,0.13,0.784
F,9,0.57,0.45,0.18,0.908
M,9,0.57,0.45,0.135,1.02
F,9,0.57,0.43,0.16,0.811
F,8,0.575,0.48,0.15,0.897
M,8,0.58,0.455,0.13,0.852
F,7,0.585,0.45,0.15,0.938
F,8,0.585,0.435,0.14,0.6955
M,8,0.59,0.47,0.15,0.861
M,9,0.59,0.46,0.14,1.004
F,8,0.59,0.46,0.16,1.0115
F,8,0.595,0.465,0.15,1.1005
M,9,0.595,0.47,0.165,1.108
M,9,0.595,0.46,0.14,0.852
M,10,0.6,0.49,0.21,1.9875
F,10,0.605,0.48,0.15,1.079
F,9,0.615,0.475,0.17,1.055
M,7,0.615,0.45,0.15,1.198
F,9,0.615,0.47,0.155,1.084
M,10,0.615,0.475,0.175,1.103
M,9,0.62,0.49,0.155,1.1
M,10,0.62,0.48,0.15,1.1015
M,11,0.625,0.495,0.185,1.3835
F,9,0.625,0.49,0.155,1.115
M,10,0.625,0.48,0.145,1.085
M,11,0.63,0.505,0.15,1.3165
M,10,0.63,0.51,0.175,1.3415
M,8,0.63,0.465,0.15,1.027
M,9,0.645,0.515,0.16,1.1845
M,9,0.645,0.48,0.15,1.192
F,9,0.645,0.52,0.18,1.285
M,9,0.65,0.515,0.125,1.1805
M,9,0.65,0.52,0.175,1.2655
F,10,0.65,0.535,0.175,1.2895
M,9,0.65,0.51,0.155,1.407
F,9,0.65,0.49,0.155,1.122
M,10,0.66,0.515,0.165,1.4465
F,9,0.665,0.505,0.165,1.349
M,11,0.67,0.5,0.2,1.269
M,13,0.67,0.51,0.18,1.68
F,13,0.675,0.55,0.19,1.551
M,11,0.68,0.52,0.165,1.4775
M,11,0.68,0.53,0.18,1.529
M,10,0.7,0.525,0.175,1.7585
M,13,0.7,0.55,0.2,1.523
F,11,0.725,0.53,0.19,1.7315
M,9,0.725,0.55,0.2,1.51
M,11,0.735,0.57,0.175,1.88
F,12,0.74,0.575,0.22,2.012
M,11,0.75,0.555,0.215,2.201
I,3,0.19,0.14,0.03,0.0315
I,4,0.21,0.15,0.045,0.04
I,4,0.25,0.175,0.06,0.0635
I,5,0.29,0.215,0.065,0.0985
I,6,0.335,0.25,0.08,0.167
I,6,0.34,0.245,0.085,0.2015
I,6,0.345,0.255,0.095,0.183
I,7,0.355,0.255,0.08,0.187
I,5,0.36,0.26,0.08,0.1795
I,7,0.37,0.275,0.09,0.2065
I,8,0.375,0.29,0.14,0.3
I,7,0.375,0.275,0.095,0.2295
I,7,0.385,0.3,0.125,0.343
I,8,0.385,0.285,0.085,0.244
